0	1	A1BG
1	2	A2M
2	9	NAT1
3	10	NAT2
4	12	SERPINA3
5	13	AADAC
6	14	AAMP
7	15	AANAT
8	16	AARS
9	18	ABAT
10	19	ABCA1
11	20	ABCA2
12	21	ABCA3
13	22	ABCB7
14	23	ABCF1
15	24	ABCA4
16	25	ABL1
17	26	AOC1
18	27	ABL2
